District,Total Population,Total housing units,Biden 20 Votes,Trump 20 Votes,2020 Votes,Clinton 16 Votes,Trump 16 Votes,2016 Votes,2012 Margin,Obama Votes,McCain Votes,High school,"Some college, no degree",Associates degree,Bachelors degree,Graduate or professional degree,Median household income,Mean household income,Occupied housing units,Vacant housing units,Median house value,Median gross rent,Urban Population,Suburban Population,Rural Population,Total Respondents,Employed,Unemployed,Not in labor force,Driving alone,Carpools and taxis,Public transportation (excluding taxis),Walked,Other means,Worked from home,Mean travel time to work (minutes),Median age,One race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Latino
CT-1,717721,318519,227813,126734,354547,194446,118324,312770,-28.53%,221290,109119,141630,85677,41601,109335,84315,77023,100933,294878,23641,259000,1223,165661,499471,53834,718967,359206,26970,209028,242247,24540,8428,5726,5007,68283,22.4,40.6,634422,432011,111161,1369,37979,101,51801,83299,134565
CT-2,729071,317200,214323,169390,383713,172514,160603,333117,-13.19%,206623,140651,139324,92955,44475,113275,87161,83734,108744,291752,25448,291200,1183,67236,389698,262654,719588,364060,22049,217426,259808,22617,3745,7094,3736,65204,25.4,42.1,656807,575467,25916,2480,26519,62,26363,72264,71511
CT-3,719381,308175,212970,142041,355011,179608,134228,313836,-25.97%,204022,122782,139500,77013,37283,109506,96431,78911,104429,291460,16715,292900,1297,194897,465143,50954,710995,368982,28974,198710,240352,28771,9840,14301,5794,61185,25.3,40,646132,445146,103277,3376,31425,755,62153,73249,132249
CT-4,718640,283907,230421,119649,350070,190493,113120,303613,-11.97%,185358,120742,95809,63706,26949,146144,118384,103548,173655,266075,17832,567800,1658,222131,431785,34424,688339,363724,24359,190735,204115,26323,17033,11104,7044,89456,27.8,40.7,623511,417395,90084,3039,42783,0,70210,95129,157033
CT-5,720784,308526,195183,156794,351977,160336,146834,307170,-8.72%,180754,135910,130513,87317,37762,109430,93690,80655,117118,284148,24378,312700,1175,118340,459124,126026,703491,354970,27281,205256,238196,29298,4692,6823,5741,62227,27.2,42.4,626043,484561,50408,1974,34172,560,54368,94741,141755
DE-1,1003384,457978,296268,200603,496871,235603,185127,420730,-18.90%,255549,152374,201366,128883,66097,146295,106997,71091,95633,395656,62322,300500,1208,152562,540764,196288,889614,461096,27140,327486,321370,28598,7415,5931,8052,84627,25.4,41.6,908737,609759,208369,3385,41066,415,45743,94647,101213
FL-1,775137,363628,139203,275564,414767,103905,243016,346921,38.18%,110931,228842,143766,115074,65682,111605,63127,65793,89402,303664,59964,264600,1187,102306,406842,145581,654729,340210,16358,242756,262087,32884,584,14028,4966,46606,26.3,39.4,700045,557252,97936,1568,22161,1281,19847,75092,57238
FL-10,777189,323907,219026,112458,331484,191961,94722,286683,-26.74%,170419,97938,136630,98542,58289,116757,66388,55908,80604,290427,33480,295300,1365,228767,410503,14007,653277,378591,36867,224548,251712,31582,7280,6105,10297,64563,26.9,35.2,623068,308428,205491,923,39360,485,68381,154121,234994
FL-11,807589,344356,188274,234646,422920,136921,187381,324302,15.41%,113993,142879,150386,112941,72062,127324,74111,72624,96542,303691,40665,313400,1513,47543,413661,94407,555610,323310,20281,308948,219242,26271,399,3173,6718,61136,29.4,43.7,662785,490885,96899,3275,24942,0,46784,144804,173521
FL-12,778826,367077,150537,273543,424080,121283,223326,344609,10.03%,153168,173020,205362,132319,52813,91725,49946,55598,75492,319038,48039,220800,1118,101491,398722,169756,669969,316409,19388,321163,224184,26618,208,3171,5910,51520,29.7,48.2,697901,606045,36291,3111,16261,204,35989,80925,114871
FL-13,768563,413371,207835,238336,446171,175941,207467,383408,-0.13%,191386,180436,163582,123751,60313,137025,74842,61804,90558,334380,78991,289300,1252,160468,544600,11958,717026,358783,19111,289695,246209,23236,1983,3324,7450,72446,23.9,50.7,693027,587373,54531,1886,29320,948,18969,75536,85916
FL-14,775035,366655,231425,156208,387633,198183,124624,322807,-22.66%,185131,115312,132732,94903,52955,142790,88503,62814,95806,330250,36405,311100,1337,288467,382469,12185,683122,398861,22403,214900,260622,24476,4005,4395,9922,91061,24.2,39.4,621285,403007,137566,1838,27617,839,50418,153750,216038
FL-15,800482,327712,176175,187716,363891,144495,156598,301093,1.99%,135941,136580,149183,104768,50820,107908,68972,61625,86278,302098,25614,266100,1220,153425,430540,78014,661978,376886,19719,243148,250721,32941,3565,3929,6065,74528,27.7,38.2,673733,442535,111972,3630,41851,262,73483,126749,214011
FL-16,789177,363485,184451,220844,405295,136620,178089,314709,11.16%,123065,143641,152227,116153,54800,127777,76188,72884,92531,303038,60447,304700,1468,80027,433256,61085,574368,357127,20707,259367,243726,25497,810,4846,6371,72732,28.1,43.1,680234,503029,99700,3852,19477,897,53279,108943,161861
FL-17,801807,439472,187437,259240,446677,152179,215204,367383,9.35%,162886,171877,187446,130406,66940,126632,77522,65418,91659,351780,87692,291000,1321,92515,466973,86388,645875,327788,14854,355988,230907,28802,1524,3998,6543,47845,26,55.8,715041,630516,43435,1955,13493,685,24957,86766,110895
FL-18,785291,353035,133382,213267,346649,111543,175086,286629,11.24%,118264,147659,203490,107046,47509,72795,33081,52435,69303,292183,60852,186600,984,98130,335914,258335,692379,317890,19262,298670,235822,30459,470,4317,8224,34157,28.7,41.4,677687,456001,101869,4512,12134,251,102920,107604,219487
FL-19,788513,482788,169532,260626,430158,133732,217952,351684,23.60%,128134,176236,167606,116229,54249,135415,92308,70698,109688,339866,142922,336600,1400,102055,483104,46651,631810,332305,17633,331418,231768,28207,851,3984,6779,54355,26.1,53.1,657745,557943,49594,700,15320,285,33903,130768,165199
FL-2,785319,390597,180543,225665,406208,159749,205080,364829,8.01%,169673,194696,146007,112359,47534,101675,66191,56301,77605,313443,77154,207500,1101,126695,296658,312990,736343,355175,19787,270570,261128,28741,1296,3750,6468,49898,23.8,38.6,724323,509897,177285,5768,14554,770,16049,60996,53127
FL-20,750268,316072,252645,78293,330938,228670,59925,288595,-61.63%,211294,53552,157548,96613,51073,80420,49176,51795,68230,278142,37930,268700,1401,224034,441635,22852,688522,356023,30102,216962,253161,40580,9356,2293,8677,35948,27.3,39.4,623767,170989,382929,2890,22804,45,44110,126501,183276
FL-21,785345,380006,199048,240858,439906,162267,200710,362977,4.90%,165774,158631,147584,120863,59024,139148,79158,70739,106501,319939,60067,332100,1436,81492,507427,64830,653749,351063,21063,290928,255566,25250,638,2795,7410,52547,27.7,49.3,687079,537297,98333,1285,16339,44,33781,98266,138777
FL-22,774317,369558,229906,160679,390585,197860,129928,327788,-22.49%,189530,106823,141569,98688,52693,123381,90229,68585,103783,303697,65861,343100,1506,129969,531410,11083,672462,352955,25410,262573,238378,38141,4304,3370,7178,53520,25.9,45,623987,390508,135169,3025,22989,44,72252,150330,218226
FL-23,773856,396532,232255,177849,410104,198947,148254,347201,-11.71%,182452,131565,130350,105806,50716,149159,104209,70142,108576,331758,64774,389000,1660,161024,507064,8805,676893,387179,26741,238870,250068,28856,5194,4723,10347,79900,27.2,44.9,611680,433905,109834,1294,21874,362,44411,162176,179316
FL-24,756692,355133,245539,83315,328854,235598,50221,285819,-66.85%,224673,47818,167498,80388,49707,97317,60128,51688,81626,281782,73351,337800,1415,403449,292753,4994,701195,353629,30013,224922,235757,25376,16098,8605,12597,49236,28.9,38.9,559538,175001,313927,794,10555,162,59099,197154,293431
FL-25,768532,323237,229483,152885,382368,209081,114301,323382,-26.72%,181070,106578,139555,80419,58367,131207,91863,75269,102674,285477,37760,393900,1525,125074,554408,15453,694935,392485,22922,203541,266625,28960,2958,4245,8255,74036,27.7,40.8,565787,358284,124481,1528,36681,854,43959,202745,326348
FL-26,775668,310268,126819,184117,310936,128995,119866,248861,0.60%,91353,112678,164399,79636,57592,102507,61791,61315,82903,275617,34651,356000,1501,325390,328557,41718,695665,369543,20050,255478,264464,35509,3581,4094,7979,49378,27.9,42.9,376208,241250,47036,942,6110,437,80433,399460,571347
FL-27,747914,330287,178088,179237,357325,175488,122285,297773,-5.07%,131526,138985,125926,68187,45906,134870,97272,64869,107938,295842,34445,453800,1584,353372,347664,8199,709234,384210,19412,222856,237761,33300,11569,11641,8751,74232,28.1,42.1,330661,217346,39324,4312,16065,95,53519,417253,549203
FL-28,765935,282123,159437,181179,340616,158628,114666,273294,-10.45%,120683,116357,150012,87975,56552,97235,56178,64881,86330,255948,26175,377800,1604,261049,359503,44147,664699,369781,24107,226261,267346,37514,4385,3279,9971,43011,32,41.1,366142,216292,73058,2862,12934,176,60820,399793,552532
FL-3,779758,344960,166675,222029,388704,141385,192626,334011,11.24%,151023,175675,174200,101923,53058,83169,69968,52054,76214,298554,46406,198100,1013,103509,260434,336392,700335,322229,15060,309917,229778,33936,3086,3201,7311,36498,25.4,40.1,693979,526090,121545,1849,21992,218,22285,85779,88517
FL-4,786011,331667,184067,210858,394925,149047,185405,334452,8.67%,151786,173983,171541,121638,50194,98221,44710,61311,76222,303353,28314,239300,1156,171937,334558,120915,627409,356650,14171,241110,260653,28156,4627,5009,8162,50843,27.2,39.1,716487,422599,234391,1924,24918,235,32420,69524,71824
FL-5,784246,347157,176970,244303,421273,131331,210071,341402,28.14%,118424,191352,106925,109232,55294,156915,88437,77698,109626,316395,30762,338700,1349,92451,457432,24622,574506,390944,16659,213839,271186,28074,840,3599,6246,84865,23.3,39.2,692556,530500,89349,1559,44122,620,26406,91690,92303
FL-6,786354,385916,161022,262090,423112,132964,218339,351303,12.81%,154675,174600,196721,130104,58993,95471,51285,55586,71962,328422,57494,224100,1087,99345,369498,216056,684899,320505,19661,327548,231959,30346,1060,3365,4356,44116,26.7,49.9,716401,584625,80335,757,13503,269,36912,69953,98399
FL-7,768702,345312,202046,226041,428087,163252,192127,355379,5.71%,166866,168727,142182,106784,66289,134222,69260,66695,89889,317538,27774,290100,1366,86863,542703,51379,680945,373723,16971,247001,248850,26195,1455,2232,6378,82866,27,42.4,668680,503188,74242,2139,28246,0,60865,100022,161124
FL-8,781963,379834,186757,267849,454606,148761,230917,379678,14.85%,157695,198514,158429,124134,71630,118507,77893,63612,88208,324906,54928,271400,1191,82225,522291,81935,686451,341015,18178,299755,253472,20772,2800,3153,5705,50071,24.5,48.8,701003,572572,73526,1696,17478,228,35503,80960,93836
FL-9,762639,320364,198371,138988,337359,170912,97209,268121,-24.15%,120400,81110,150610,103882,61450,107044,55889,63463,83148,264101,56263,289700,1481,135984,363616,43272,542873,377992,25277,215438,266738,34515,1196,3302,5241,58381,31.4,37.8,555259,277382,75570,1666,27160,1757,171724,207380,405298
GA-1,776100,340908,144348,189659,334007,110607,155973,266580,13.85%,116598,147238,152036,121267,48624,88390,58496,60214,81071,296449,44459,201300,1088,133300,306257,249019,688576,330785,18047,246925,271165,28816,1542,5837,5764,29097,23.9,36.8,710213,454004,222404,3223,15444,780,14358,65887,55731
GA-10,790768,308386,142239,230726,372965,102371,189254,291625,30.06%,106139,174621,158874,104279,41861,94426,65208,67918,84948,285934,22452,256500,1050,81011,273115,316008,670134,365472,19819,245061,269783,26954,1046,3313,4528,53747,30.1,37.3,728911,506152,175426,3643,19187,83,24420,61857,61470
GA-11,772858,316944,159077,217643,376720,109108,185196,294304,32.60%,98247,175050,108070,99163,41272,155192,80473,82747,107536,296064,20880,321700,1401,61168,507640,88778,657586,401175,22506,195475,257154,27927,1106,4564,7535,97063,27,37.9,697181,495217,124373,8610,25775,710,42496,75677,97926
GA-12,766372,328434,151132,185716,336848,121481,159486,280967,9.12%,129420,154850,160398,102524,48025,70476,53826,53832,73923,270386,58048,157400,867,123507,308763,287138,719408,322329,24381,249784,264509,24576,507,4687,8687,25149,24.1,37,714063,401767,274470,1478,12215,152,23981,52309,42611
GA-13,763561,304068,273969,66453,340422,214727,60920,275647,-49.90%,177623,70561,137124,103639,42965,105840,60517,63684,86636,283353,20715,226200,1254,94146,519566,55586,669298,368010,27291,193863,252218,37724,2324,3702,3690,60315,30.5,36.3,703018,139003,499617,1498,27760,1153,33987,60543,84959
GA-14,777456,302956,104544,232183,336727,73390,191728,265118,40.45%,76377,170096,168757,113522,40999,73545,47386,64432,80847,275721,27235,203500,893,70620,354580,297953,723153,356975,18060,233994,274635,29214,374,3776,6383,38850,27.9,37.9,710109,554478,106769,7453,8572,145,32692,67347,101661
GA-2,769411,344818,173868,140913,314781,150531,124987,275518,-14.64%,170065,128999,166767,105185,48953,65550,46173,45826,65178,288746,56072,132600,831,192268,328525,250634,771427,305718,21782,269067,237898,29898,1228,6526,4847,28873,22.5,37.5,727655,323404,369043,2389,10963,575,21281,41756,46127
GA-3,773245,306864,132203,248167,380370,97676,210579,308255,35.25%,102212,204541,165156,109355,47333,86916,58641,66688,88620,285163,21701,238600,1000,60402,331684,320225,712311,350257,21900,245206,264171,31670,1320,2721,5580,39094,27.7,39,715055,506115,173605,2655,13372,51,19257,58190,46046
GA-4,756440,320706,279069,73410,352479,222980,66892,289872,-45.93%,215994,80806,120332,95126,41057,122722,95422,69415,99169,274319,46387,261800,1346,188350,456747,41573,686671,381214,26656,195209,227154,36274,9170,3333,7991,90115,29.8,36.9,688707,207637,412624,1855,42476,426,23689,67733,66733
GA-5,765685,375909,305942,59744,365686,250154,49348,299502,-56.43%,268220,62580,89290,74210,33302,165818,125027,71695,114582,340310,35599,360500,1376,404459,245607,13856,663922,399198,23328,206148,202950,19993,12242,10391,8482,137993,25.8,35,708213,293180,357982,2529,35013,656,18853,57472,50119
GA-6,780668,298763,174316,235820,410136,113676,201677,315353,43.16%,97558,200286,77696,83951,33005,190510,123900,108217,143532,287881,10882,434600,1593,35410,534862,66376,636648,411654,15098,191399,229980,24303,897,3400,4612,142496,28.9,40.5,696713,511700,65017,5007,93307,0,21682,83955,76612
GA-7,749673,272877,203134,118938,322072,142925,106635,249560,2.68%,113186,122256,102859,78571,44508,122607,74174,72792,99010,262349,10528,313300,1469,57987,567028,33894,658908,367968,18471,192359,227094,34351,1365,1859,5800,82158,30.5,36.3,643924,242948,220704,6385,94597,412,78878,105749,171883
GA-8,760317,329748,117855,209131,326986,93873,179794,273667,25.65%,103231,173230,173741,95262,52699,60829,48501,51525,70469,278832,50916,152700,801,104178,244479,393431,742087,306766,21568,264275,247242,29089,875,2388,4557,23632,22.7,37.2,707465,444214,233143,3515,13105,221,13267,52852,54628
GA-9,797012,323861,112811,253334,366145,74464,206635,281099,50.63%,69336,183711,149276,105318,44967,111193,53318,69258,92824,275602,48259,276900,1093,48060,340332,286000,674392,364938,15878,252452,262259,30975,1335,2771,3156,57304,27.8,40,702818,522509,88723,3402,54094,89,34001,94194,127018
HI-1,712947,277638,178661,96350,275011,131565,63534,195099,-41.45%,155631,62625,121911,97202,58842,127014,73081,89167,114928,252910,24728,768000,1820,262877,382824,28621,674322,327223,23065,208742,218622,46718,16463,16356,10150,38198,25.1,40.9,547040,117584,13290,1404,349910,52070,12782,165907,64340
HI-2,728606,287240,187469,100514,287983,135326,65313,200639,-45.33%,170240,57941,147184,109689,53967,99835,60751,79474,108364,237170,50070,679700,1704,105972,375882,196585,678440,309740,30172,218142,218175,46296,5562,10478,7926,33502,25.6,39.5,515052,202093,15194,3433,186251,93486,14595,213554,95794
IA-1,794325,353329,203400,215742,419142,177850,189883,367733,-13.38%,224737,162527,157247,113977,62123,110283,59456,63665,89156,322535,30794,178100,845,162288,335805,268314,766406,399693,15543,221213,293143,28502,2873,13635,5566,47564,21.1,39,739793,675641,26906,2568,17880,553,16245,54532,44846
IA-2,794283,362205,203246,222312,425558,180282,198955,379237,-13.03%,235118,163318,168839,108879,71639,106779,49865,64201,83971,328465,33740,168600,788,186381,323300,271910,781591,401115,15115,221785,299302,24960,1475,12121,5454,52428,19.1,39.7,752518,692256,31000,4651,11864,2135,10612,41765,30071
IA-3,809127,355382,205591,207043,412634,165874,177108,342982,-5.95%,184672,158459,151137,109173,54867,130324,59755,70794,91558,328779,26603,210100,943,223380,320520,163443,707343,417221,15901,196083,283500,34996,1196,6999,7184,76882,20.1,37.1,756140,657907,43986,2063,30866,304,21014,52987,62030
IA-4,795344,355123,146824,252575,399399,129663,235036,364699,9.26%,184080,197800,169449,107696,66827,94492,41788,64164,81228,320688,34435,157400,780,177640,284241,328911,790792,398504,13639,223357,305928,30030,2183,12156,3613,36432,18.7,38.9,728526,670896,13281,6006,14763,1867,21713,66818,75359
ID-1,967737,396896,132143,302954,435097,86264,220999,307263,33.92%,110670,198376,185662,160748,66906,121534,63671,68661,91608,352443,44453,393400,1099,98748,369905,289431,758084,452691,14700,297042,337602,33721,1601,8954,6499,58184,23,39.1,877214,798095,6299,11174,8788,589,52269,90523,113462
ID-2,933186,378434,154878,251165,406043,103501,188056,291557,31.70%,125770,204636,152620,135835,59618,132228,68831,64712,88249,341439,36995,339400,979,144978,389209,275237,809424,449128,16158,250521,323837,39203,2662,7792,9758,59723,20.3,35.6,845778,749990,7936,12816,17213,1140,56683,87408,138454
IL-1,731895,325786,260608,103962,364570,258515,86153,344668,-55.89%,308261,77163,133257,126648,43715,98841,66389,61003,82678,292712,33074,238200,1047,414774,300958,42360,758092,322182,47462,223381,195291,18549,24032,8107,8382,57634,32,40.4,687560,279152,362369,4332,13748,212,27747,44335,60548
IL-10,751134,289119,220431,128452,348883,186067,112732,298799,-10.73%,192373,122833,105153,90337,29612,133274,98671,92214,137600,272513,16606,292900,1256,95807,596960,51658,744425,362380,25821,195129,233652,31704,4901,11832,4987,79497,27,39.2,641714,463684,45585,8069,64150,429,59797,109420,174166
IL-11,746018,288818,215293,157092,372385,171819,136492,308311,-2.05%,176632,136706,102090,98797,39430,140321,91283,95707,121858,277934,10884,296000,1405,61399,621171,65151,747722,386472,25526,185965,245031,25555,6414,4708,4688,91936,27.7,40.2,645214,494596,48043,4124,60034,15,38402,100804,136069
IL-12,756783,348697,106247,270231,376478,95310,251552,346862,26.03%,161856,198907,160138,122069,71728,79866,48337,58961,76706,306453,42244,128400,722,127845,246369,415446,789660,333083,19646,256180,265136,24315,1120,5550,2645,31044,22.5,41.5,717147,665700,37421,1753,5695,133,6445,39636,21512
IL-13,729837,353687,195381,155133,350514,176530,147579,324109,-14.42%,215565,133830,140296,111262,43651,87880,68784,54986,75052,305648,48039,130800,863,252184,414479,112068,778731,330295,25726,239744,231326,23628,6516,9261,4333,48939,21,37.7,677427,499008,138192,1538,29319,89,9281,52410,29463
IL-14,757967,280211,191041,151038,342079,157151,130645,287796,-7.97%,170665,118742,130016,106924,43632,101503,57222,81316,102827,265774,14437,240600,1090,101509,543877,87941,733327,377565,28737,186815,269613,32459,2450,4807,5106,55497,27.3,36.8,647756,470715,62725,6395,40168,54,67699,110211,179900
IL-15,754165,340604,117022,270205,387227,102580,244940,347520,24.13%,164517,199999,189481,113318,56096,87091,45231,64632,81873,308096,32508,131000,719,130597,269865,392819,793281,343673,20017,247410,273492,19337,740,7651,4566,32243,22.6,42.4,720844,687933,19075,1755,6873,291,4917,33321,17031
IL-16,744298,329216,152607,238749,391356,125721,213029,338750,17.21%,169352,190605,147932,116160,57039,105564,57519,72666,92574,305431,23785,173400,907,86343,371853,327109,785305,354979,20727,220391,274218,22117,207,4143,2960,46291,23.3,41.8,693976,642206,21562,1501,16259,178,12270,50322,47743
IL-17,749520,350565,174840,149011,323851,158506,137320,295826,-17.35%,202586,129776,161180,112921,50338,78589,42774,49788,65893,316251,34314,111600,785,282133,327913,161594,771640,329509,27895,245920,241240,30016,2608,10328,4158,33713,19.9,38.6,675322,535135,89075,3623,16156,1031,30302,74198,85929
IL-2,758903,331836,231875,98019,329894,228009,88360,316369,-46.85%,260110,87588,157095,125619,44829,71797,53830,54422,70847,293624,38212,145000,956,265462,403109,117084,785654,316861,40695,242709,218030,21678,12906,7357,8990,39538,29.3,38.6,698216,272486,349547,4039,6610,209,65325,60687,122244
IL-3,723029,281173,207606,84237,291843,184409,65684,250093,-38.30%,174694,71668,118783,80437,38983,112494,62393,76411,99294,263493,17680,319600,1242,449312,302342,6718,758373,368477,28663,181633,207040,32923,27597,9261,9264,76111,30.1,36.1,574892,318198,48269,10660,45148,488,152129,148137,328561
IL-4,721991,259353,175347,62773,238120,164935,49530,214465,-43.44%,146737,57135,148368,74906,28418,66828,48295,66787,93342,240748,18605,261900,1008,457793,288369,6969,753131,333224,28601,211125,195886,45159,21864,8290,5167,48431,30.3,36.8,530167,221453,36098,15586,28762,418,227850,191824,470129
IL-5,779160,367032,277279,117413,394692,235988,98390,334378,-23.11%,221978,112498,69901,66314,28672,210887,157810,101166,146911,338817,28215,414600,1501,421933,292744,7911,722588,434540,23793,178428,189942,18122,40784,15819,11754,152367,29,36.8,708355,557274,25747,3010,87651,33,34640,70805,93267
IL-6,754571,310848,216291,173135,389426,180640,151235,331875,-1.24%,188138,157306,123090,100425,46906,138310,95353,87929,117782,297388,13460,296500,1279,98791,633117,9944,741852,369304,26625,212460,246436,19314,8125,6572,4462,78678,28.5,41.9,680543,546645,43797,3687,43876,746,41792,74028,113494
IL-7,712378,359874,274990,41089,316079,272562,31019,303581,-75.74%,286086,33717,101575,84938,27227,124168,114087,70210,111108,321309,38565,312100,1401,563769,127559,8581,699910,354684,41600,193680,143030,18276,37074,27160,16798,104187,30.7,35.2,648079,233864,300286,4396,59109,151,50273,64299,111122
IL-8,752922,290833,189421,138008,327429,158507,113058,271565,-9.60%,158173,108239,124194,93712,43741,129961,72005,84500,105220,278230,12603,282400,1366,79508,624117,23786,727411,386495,23242,187960,262717,29673,3312,3581,6895,73022,26.9,39.3,644582,417305,33337,5045,106607,1027,81261,108340,185797
IL-9,746898,332642,265636,108344,373980,233480,88297,321777,-32.73%,222868,96414,82444,82998,33319,164908,130314,80300,116004,307220,25422,356200,1295,304817,422033,7493,734343,375469,28111,209320,188513,27171,28216,11478,14045,101429,29.3,40.7,673205,465608,61476,5200,98366,276,42279,73693,100355
IN-1,754129,325339,181830,153362,335192,165956,128967,294923,-23.67%,197248,112484,192123,108541,43950,83264,48056,64176,84040,292553,32786,208500,1005,162230,467991,107717,737938,340503,21626,243098,269046,22031,3243,4840,4757,29589,27.3,40.3,669834,478369,126492,3171,10678,136,50988,84295,126289
IN-2,752280,318657,117691,187982,305673,99794,172718,272512,16.82%,146065,153003,178803,95103,40515,77277,44298,60853,78718,281334,37323,163700,869,162818,298342,283198,744358,347844,17139,222534,265824,29357,1689,9530,6304,27593,21.7,38.2,685427,593460,47005,1912,10208,268,32574,66853,81932
IN-3,755001,327304,111653,209896,321549,87898,187915,275813,25.73%,128776,162658,169261,102072,49417,79784,41599,61889,78525,298414,28890,163400,806,177015,275421,262485,714920,362633,16608,206866,278265,32790,1149,5956,6126,28763,22.1,37.8,699140,620110,38798,1748,21824,129,16531,55861,48084
IN-4,762956,316668,118416,219016,337432,89720,192817,282537,27.64%,125723,160965,164706,93102,45192,102477,53718,68746,85254,291809,24859,205600,908,103949,316958,279104,700011,373709,10904,224624,276757,24956,1891,11804,2907,47643,23.2,37.3,711798,638056,29070,2701,22231,173,19567,51158,51507
IN-5,766044,326733,151395,210211,361606,113722,189864,303586,20.46%,139401,163769,134771,88998,47966,135460,73298,70367,100343,301543,25190,212200,976,130186,404161,156516,690864,370399,21494,213976,261961,23407,984,5949,4016,68281,24.2,38.4,712972,641184,34429,2561,25453,146,9199,53072,32285
IN-6,753496,314826,109388,215299,324687,83828,194382,278210,28.97%,118706,162304,173602,108013,43384,87016,51576,66074,84041,294410,20416,190900,927,110967,385623,198242,694832,369879,17159,204415,283787,28367,435,3189,1787,46506,24.4,38,714071,626976,28386,2225,38498,294,17692,39425,38998
IN-7,749635,350453,213497,84812,298309,187181,84036,271217,-33.93%,207499,92986,130839,88435,36296,117799,69167,57722,80372,310473,39980,181100,957,379341,318402,11553,709296,374078,23248,189634,251832,33243,6178,7262,4139,65008,23.7,35,677795,364818,250421,1518,14784,0,46254,71840,92843
IN-8,754451,338326,112349,225278,337627,96921,206009,302930,19.32%,154584,163950,191461,98859,62085,74768,41499,56957,75660,308930,29396,150800,797,155230,244184,358128,757542,357395,15892,231283,286187,27750,1249,8066,5264,23549,22.9,39.8,714482,669294,28184,1799,6007,530,8668,39969,20242
IN-9,757993,331815,126279,224001,350280,108135,200532,308667,15.18%,148854,167871,182430,100583,45603,85224,50507,60586,76915,301228,30587,190500,874,133751,258980,341230,733961,362738,15970,237750,274686,26438,1028,7710,3550,42321,24.8,39.3,718447,676253,18643,1539,12638,11,9363,39546,25821
KS-1,733038,330951,110565,206458,317023,84992,182277,267269,34.19%,108958,190346,126629,113468,46130,88912,54486,57171,74459,292858,38093,153200,817,170219,274657,280590,725466,364478,16307,200409,270607,34762,1401,15090,6229,34729,17.1,36.6,652062,577291,21072,7584,11562,111,34442,80976,112449
KS-2,731232,324345,130811,183252,314063,105021,158414,263435,11.71%,142515,162134,150972,114491,39901,85029,48898,56153,73351,288273,36072,144600,833,208667,293406,241395,743468,332111,14685,218887,259596,29774,1013,6773,2752,34311,19.8,37.4,653265,540810,58865,5534,13838,780,33438,77967,91898
KS-3,737384,308134,205619,187733,393352,146155,164205,310360,17.31%,150044,178814,86351,91275,37746,160569,103253,88701,119385,294013,14121,311500,1172,102004,511210,53526,666740,397669,12480,172462,260078,21650,203,4982,4706,99195,21.6,38.4,670782,573243,32222,2316,35237,208,27556,66602,69613
KS-4,732928,320923,123325,193958,317283,90814,166079,256893,26.01%,113148,168217,129693,116805,43798,92954,53351,59974,78541,283882,37041,161100,842,232701,327773,156914,717387,343214,22003,203259,273709,26401,1186,4979,6084,29381,20.1,36.8,647569,539482,42573,6236,24785,668,33825,85359,99763
KY-1,748599,346723,283,717,1000,84441,228598,313039,32.27%,117359,194390,186164,104936,51403,63105,40976,51974,67220,297513,49210,146800,728,97084,219064,432956,749103,309707,17014,264064,243806,28270,1211,9705,3234,25316,21.2,40,710586,641168,52569,2276,4413,2039,8121,38013,24833
KY-2,755942,326289,3605,6395,10000,86747,211100,297847,27.97%,110103,174079,180442,102014,46879,72321,50964,59005,77049,289169,37120,176700,770,90422,257182,348569,696173,336798,18136,237853,265728,30120,756,5650,3095,28232,24.8,39,713255,649603,33352,1903,16023,1260,11114,42687,28518
KY-3,745141,344796,6025,3975,10000,185329,133238,318567,-13.71%,191728,143683,147315,101278,39343,106428,78057,58965,83248,318872,25924,213700,978,259618,443665,12580,715863,367218,19447,213171,260642,27078,4328,5210,5881,57040,20.5,38.3,666268,479261,156709,1030,19017,179,10072,78873,50061
KY-4,759552,313526,334,666,1000,94439,214613,309052,29.21%,112238,187066,154625,96030,51054,102467,64226,70561,94292,289273,24253,213700,873,85104,340991,281176,707270,363668,19326,218600,266549,26418,1725,4815,5887,53096,25.9,39.3,710542,669057,17213,2095,8261,1283,12633,49010,26768
KY-5,749196,345180,199,801,1000,55929,237028,292957,49.51%,93577,186475,199310,98742,41817,41401,34086,37910,54663,284234,60946,101900,654,54455,160669,564218,779342,251493,21562,327546,192647,27634,443,4747,1027,15862,26.1,40.8,723791,707583,10265,1146,1736,201,2860,25405,8068
KY-6,750964,331713,4455,5545,10000,121962,178379,300341,17.40%,126943,162790,140098,91071,45212,102824,73559,58668,79879,306621,25092,211400,891,164169,329484,197194,690847,363447,19170,225955,270346,25805,2034,9384,3544,45163,23.4,37.5,698955,609767,54526,1907,14864,26,17865,52009,38499
LA-1,775969,337920,109242,256622,365864,89391,237765,327156,46.08%,77577,232826,148753,110501,35714,114252,68579,65197,92780,307894,30026,239700,1064,109639,392714,168193,670547,353119,23108,240212,270114,30174,1068,3698,5827,37664,25.3,39.5,694969,554099,98818,9806,14945,2160,15141,81000,70817
